id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,fixture_difficulty
728,Merlin,Röhl,3,5.0,4,91,0,0,0,0,0,0,11.4,13.3,7.0,0.8,9,Everton,0.8,Man Utd,False,4
447,Ayden,Heaven,2,3.8,4,28,0,1,0,0,0,0,28.6,10.3,0.0,0.8,14,Man Utd,1.0526315789473684,Everton,True,3
243,Tyrique,George,3,4.9,4,142,0,0,1,2,0,0,8.2,7.0,56.0,0.2,7,Chelsea,0.8163265306122448,Burnley,False,3
527,Taiwo,Awoniyi,4,5.2,4,133,0,0,0,0,0,0,11.8,25.7,39.0,1.0,16,Nott'm Forest,0.7692307692307692,Liverpool,False,4
199,Joe,Worrall,2,3.9,4,19,0,0,0,0,0,0,11.2,0.3,0.0,0.0,3,Burnley,1.0256410256410258,Chelsea,True,4
93,Hamed,Traorè,3,4.5,4,16,0,1,0,0,0,0,21.2,10.0,0.0,0.0,4,Bournemouth,0.8888888888888888,West Ham,True,2
732,Christantus,Uche,4,5.5,3,8,0,0,0,0,0,0,3.4,0.8,19.0,0.2,8,Crystal Palace,0.5454545454545454,Wolves,False,3
719,Victor,Lindelöf,2,4.5,3,21,0,0,0,0,0,0,3.0,0.4,0.0,0.0,2,Aston Villa,0.6666666666666666,Leeds,False,3
619,Luis Guilherme,Lira dos Santos,3,4.9,3,54,0,0,0,0,0,0,1.6,0.6,4.0,0.0,19,West Ham,0.6122448979591836,Bournemouth,False,4
607,Nayef,Aguerd,2,4.4,3,180,0,0,0,0,0,0,39.0,3.9,8.0,0.0,19,West Ham,0.6818181818181818,Bournemouth,False,4
618,Guido,Rodríguez,3,4.8,3,89,0,0,0,0,0,0,3.4,2.5,2.0,0.2,19,West Ham,0.625,Bournemouth,False,4
206,Marcus,Edwards,3,4.7,3,22,0,0,0,0,0,0,3.2,1.4,24.0,0.5,3,Burnley,0.6382978723404255,Chelsea,True,4
197,Oliver,Sonne,2,3.9,3,102,0,0,0,0,0,0,7.6,16.4,6.0,0.0,3,Burnley,0.7692307692307693,Chelsea,True,4
707,Tyler,Dibling,3,5.4,3,62,0,0,0,1,0,0,3.0,1.1,2.0,0.0,9,Everton,0.5555555555555555,Man Utd,False,4
300,Dwight,McNeil,3,5.5,3,51,0,0,0,0,0,0,1.6,11.7,8.0,0.5,9,Everton,0.5454545454545454,Man Utd,False,4
149,Igor Julio,dos Santos de Paulo,2,4.5,3,13,0,0,0,0,0,0,3.0,10.3,0.0,0.5,19,West Ham,0.6666666666666666,Bournemouth,False,4
144,Diego,Coppola,2,4.3,3,17,0,0,0,0,0,0,7.8,0.1,0.0,0.2,6,Brighton,0.6976744186046512,Brentford,True,3
510,Jair,Paula da Cunha Filho,2,4.3,3,90,0,0,0,0,0,0,26.0,0.4,0.0,0.0,16,Nott'm Forest,0.6976744186046512,Liverpool,False,4
672,Jorrel,Hato,2,4.7,3,166,0,0,0,2,0,0,24.0,3.3,6.0,0.0,7,Chelsea,0.6382978723404255,Burnley,False,3
316,Antonee,Robinson,2,4.9,3,61,0,0,0,0,0,0,13.6,22.8,4.0,0.0,10,Fulham,0.6122448979591836,Sunderland,True,3
626,Callum,Marshall,4,4.4,2,58,0,0,0,0,0,0,1.2,0.1,7.0,0.2,19,West Ham,0.4545454545454545,Bournemouth,False,4
549,Dan,Neil,3,4.8,2,2,0,0,0,0,0,0,2.0,0.0,0.0,0.2,17,Sunderland,0.4166666666666667,Fulham,False,4
542,Jenson,Seelt,2,4.0,2,133,0,0,0,0,0,0,33.6,2.4,0.0,0.0,17,Sunderland,0.5,Fulham,False,4
27,Reiss,Nelson,3,4.8,2,16,0,0,0,0,0,0,9.0,2.2,9.0,0.5,5,Brentford,0.4166666666666667,Brighton,False,3
24,Christian,Nørgaard,3,5.2,2,14,0,0,0,0,0,0,6.4,0.1,7.0,0.5,1,Arsenal,0.3846153846153846,Spurs,True,1
632,Matt,Doherty,2,4.4,2,291,0,0,0,3,0,0,49.4,21.8,4.0,0.5,20,Wolves,0.4545454545454545,Crystal Palace,True,4
725,Piero,Hincapié,2,5.4,2,26,0,0,0,0,0,0,0.8,0.6,0.0,0.5,1,Arsenal,0.3703703703703703,Spurs,True,1
294,Séamus,Coleman,2,4.3,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,Everton,0.4651162790697674,Man Utd,False,4
172,Tom,Watson,3,4.9,2,40,0,0,0,0,0,0,5.6,1.3,7.0,0.5,6,Brighton,0.4081632653061224,Brentford,True,3
596,Dominic,Solanke-Mitchell,4,7.2,2,31,0,0,0,0,0,0,6.0,0.3,25.0,0.0,18,Spurs,0.2777777777777778,Arsenal,False,3
519,Nicolás,Domínguez,3,5.0,2,110,0,0,0,1,0,0,17.2,45.3,0.0,0.5,16,Nott'm Forest,0.4,Liverpool,False,4
608,Ollie,Scarles,2,4.4,1,69,0,0,0,0,0,0,8.0,1.2,0.0,0.2,19,West Ham,0.2272727272727272,Bournemouth,False,4
702,Bradley,Burrowes,3,4.5,1,16,0,0,0,0,0,0,0.0,0.3,0.0,0.0,2,Aston Villa,0.2222222222222222,Leeds,False,3
30,Kai,Havertz,4,7.3,1,30,0,0,0,0,0,0,2.8,0.8,2.0,0.0,1,Arsenal,0.136986301369863,Spurs,True,1
634,Yerson,Mosquera Valdelamar,2,4.3,1,182,0,0,0,1,0,0,20.2,0.7,21.0,-0.8,20,Wolves,0.2325581395348837,Crystal Palace,True,4
737,Jonah,Kusi-Asare,4,4.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2,10,Fulham,0.2222222222222222,Sunderland,True,3
346,Sam,Byram,2,3.9,1,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,Leeds,0.2564102564102564,Aston Villa,True,3
285,Odsonne,Édouard,4,5.0,1,2,0,0,0,0,0,0,2.0,0.0,0.0,0.0,8,Crystal Palace,0.2,Wolves,False,3
305,Harrison,Armstrong,3,4.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,Everton,0.2222222222222222,Man Utd,False,4
422,Mateo,Kovačić,3,5.9,1,4,0,0,0,0,0,0,2.6,0.8,0.0,0.2,13,Man City,0.1694915254237288,Newcastle,False,2
259,Borna,Sosa,2,4.8,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2,8,Crystal Palace,0.2083333333333333,Wolves,False,3
269,Romain,Esse,3,4.7,1,24,0,0,0,0,0,0,4.6,0.4,2.0,0.0,8,Crystal Palace,0.2127659574468085,Wolves,False,3
480,Jamaal,Lascelles,2,4.3,1,19,0,0,0,0,0,0,10.2,0.0,7.0,0.0,15,Newcastle,0.2325581395348837,Man City,True,2
221,Filip,Jörgensen,1,4.4,1,84,0,0,0,0,0,0,9.4,0.0,0.0,0.0,7,Chelsea,0.2272727272727272,Burnley,False,3
168,Facundo,Buonanotte,3,4.7,1,45,0,0,0,0,0,0,5.6,25.1,8.0,0.0,7,Chelsea,0.2127659574468085,Burnley,False,3
744,Nehemiah,Oriola,3,4.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2,6,Brighton,0.2222222222222222,Brentford,True,3
175,Joe,Knight,3,4.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2,6,Brighton,0.2222222222222222,Brentford,True,3
263,Nathaniel,Clyne,2,3.9,1,4,0,0,0,0,0,0,3.4,0.5,0.0,0.0,8,Crystal Palace,0.2564102564102564,Wolves,False,3
545,Patrick,Roberts,3,5.4,1,27,0,0,0,0,0,0,1.8,7.3,5.0,0.0,17,Sunderland,0.1851851851851851,Fulham,False,4
518,João Pedro,Ferreira da Silva,3,5.4,1,11,0,0,0,0,0,0,5.0,0.5,4.0,0.0,16,Nott'm Forest,0.1851851851851851,Liverpool,False,4
96,Ben,Winterburn,3,4.5,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,Bournemouth,0.2222222222222222,West Ham,True,2
195,Lucas,Pires Silva,2,3.9,1,9,0,0,0,0,0,0,4.4,14.5,0.0,0.2,3,Burnley,0.2564102564102564,Chelsea,True,4
122,Antoni,Milambo,3,5.2,1,45,0,0,0,0,0,0,4.0,1.8,0.0,0.0,5,Brentford,0.1923076923076923,Brighton,False,3
98,Enes,Ünal,4,5.4,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.2,4,Bournemouth,0.1851851851851851,West Ham,True,2
218,Ashley,Barnes,4,4.3,1,7,0,0,0,0,0,0,0.2,0.3,0.0,0.2,3,Burnley,0.2325581395348837,Chelsea,True,4
678,Arthur,Masuaku,2,3.9,1,125,0,0,0,1,0,0,21.8,20.1,7.0,0.0,17,Sunderland,0.2564102564102564,Fulham,False,4
80,Julio,Soler Barreto,2,4.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,Bournemouth,0.25,West Ham,True,2
656,Saša,Kalajdžić,4,4.9,1,14,0,0,0,0,0,0,1.0,4.3,2.0,0.0,20,Wolves,0.2040816326530612,Crystal Palace,True,4
749,Mateus,Mané,4,4.5,1,20,0,0,0,0,0,0,0.0,10.9,0.0,1.0,20,Wolves,0.2222222222222222,Crystal Palace,True,4
