id_x,prenom,nom,poste,prix,points,minutes_jouees,buts,passes,clean_sheets,jaunes,rouges,bonus,influence,creativity,threat,forme,id_y,equipe,point_par_million,prochain_adversaire,domicile,points_per_min,ict_calc,poste_1,poste_2,poste_3,poste_4,prix_scaled,points_scaled,minutes_jouees_scaled,buts_scaled,passes_scaled,bonus_scaled,forme_scaled,points_per_min_scaled,ict_calc_scaled
683,Omar,Alderete,2,4.1,45,667,1,1,3,1,0,4,228.4,38.6,77.0,1.5,17,Sunderland,10.975609756097562,Fulham,0,0.06746626686656672,344.0,False,True,False,False,0.027027027027027008,0.43564356435643564,0.673407482305359,0.07142857142857142,0.2,0.17391304347826086,0.24731182795698922,0.06231414679400631,0.27741935483870966
178,Danny,Welbeck,4,6.5,45,709,6,0,2,2,0,6,226.4,114.1,190.0,6.8,6,Brighton,6.923076923076923,Brentford,1,0.06346967559943582,530.5,False,False,False,True,0.24324324324324323,0.43564356435643564,0.7158746208291203,0.42857142857142855,0.0,0.2608695652173913,0.8172043010752688,0.058295474912139884,0.42782258064516127
597,Richarlison,de Andrade,4,6.4,44,631,4,2,2,2,0,7,191.4,65.6,253.0,3.0,18,Spurs,6.875,Arsenal,0,0.06973058637083994,510.0,False,False,False,True,0.23423423423423426,0.42574257425742573,0.6370070778564206,0.2857142857142857,0.4,0.30434782608695654,0.4086021505376344,0.06459097635078934,0.4112903225806452
418,Jérémy,Doku,3,6.4,44,617,1,4,4,0,0,6,190.2,299.0,230.0,3.8,13,Man City,6.875,Newcastle,0,0.0713128038897893,719.2,False,False,True,False,0.23423423423423426,0.42574257425742573,0.6228513650151668,0.07142857142857142,0.8,0.2608695652173913,0.49462365591397844,0.06618193540299257,0.5800000000000001
387,Dominik,Szoboszlai,3,6.6,44,990,1,1,3,4,0,7,254.8,295.8,120.0,4.2,12,Liverpool,6.666666666666667,Nott'm Forest,1,0.044444444444444446,670.6,False,False,True,False,0.25225225225225223,0.42574257425742573,1.0,0.07142857142857142,0.2,0.30434782608695654,0.5376344086021505,0.03916513198281154,0.5408064516129032
419,Jack,Grealish,3,6.8,43,826,1,4,3,3,0,7,244.6,317.5,244.0,1.5,9,Everton,6.323529411764706,Man Utd,0,0.05205811138014528,806.1,False,False,True,False,0.27027027027027023,0.4158415841584158,0.8341759352881699,0.07142857142857142,0.8,0.30434782608695654,0.24731182795698922,0.046820863376720666,0.6500806451612904
291,James,Tarkowski,2,5.4,43,990,0,0,3,2,0,1,260.4,74.4,70.0,2.8,9,Everton,7.962962962962963,Man Utd,0,0.043434343434343436,404.79999999999995,False,True,False,False,0.14414414414414417,0.4158415841584158,1.0,0.0,0.0,0.043478260869565216,0.3870967741935483,0.03814945030414644,0.3264516129032258
37,Lucas,Digne,2,4.5,42,817,0,3,4,2,0,0,161.4,181.5,58.0,5.2,2,Aston Villa,9.333333333333334,Leeds,0,0.051407588739290085,400.9,False,True,False,False,0.06306306306306307,0.40594059405940597,0.8250758341759353,0.0,0.6,0.0,0.6451612903225806,0.04616674668812594,0.3233064516129032
287,Jordan,Pickford,1,5.5,42,990,0,0,3,0,0,3,282.2,0.1,0.0,3.0,9,Everton,7.636363636363637,Man Utd,0,0.04242424242424243,282.3,True,False,False,False,0.15315315315315314,0.40594059405940597,1.0,0.0,0.0,0.13043478260869565,0.4086021505376344,0.03713376862548133,0.22766129032258065
302,Idrissa Gana,Gueye,3,5.4,42,949,2,0,3,0,0,3,174.4,107.1,110.0,4.5,9,Everton,7.777777777777778,Man Utd,0,0.044257112750263436,391.5,False,False,True,False,0.14414414414414417,0.40594059405940597,0.9585439838220424,0.14285714285714285,0.0,0.13043478260869565,0.5698924731182795,0.03897676530689472,0.3157258064516129
303,James,Garner,3,5.0,42,990,1,1,3,4,0,5,239.4,196.5,95.0,2.2,9,Everton,8.4,Man Utd,0,0.04242424242424243,530.9,False,False,True,False,0.10810810810810811,0.40594059405940597,1.0,0.07142857142857142,0.2,0.21739130434782608,0.3225806451612903,0.03713376862548133,0.42814516129032254
350,Brenden,Aaronson,3,5.4,41,709,1,3,2,1,0,3,152.0,159.5,154.0,5.5,11,Leeds,7.592592592592592,Aston Villa,1,0.05782792665726375,465.5,False,False,True,False,0.14414414414414417,0.39603960396039606,0.7158746208291203,0.07142857142857142,0.6,0.13043478260869565,0.6774193548387096,0.052622556086309405,0.37540322580645163
532,Trai,Hume,2,4.5,41,978,0,1,4,1,0,2,153.0,126.1,48.0,3.8,17,Sunderland,9.11111111111111,Fulham,0,0.041922290388548056,327.1,False,True,False,False,0.06306306306306307,0.39603960396039606,0.9878665318503539,0.0,0.2,0.08695652173913043,0.49462365591397844,0.036629043374120145,0.26379032258064516
560,Wilson,Isidor,4,5.6,41,670,4,0,3,0,0,7,137.6,13.8,228.0,3.2,17,Sunderland,7.321428571428572,Fulham,0,0.06119402985074627,379.4,False,False,False,True,0.16216216216216212,0.39603960396039606,0.6764408493427705,0.2857142857142857,0.0,0.30434782608695654,0.4301075268817204,0.05600725653500453,0.3059677419354839
517,Elliot,Anderson,3,5.3,41,990,1,1,0,2,0,1,236.0,281.8,94.0,4.8,16,Nott'm Forest,7.735849056603774,Liverpool,0,0.04141414141414142,611.8,False,False,True,False,0.13513513513513511,0.39603960396039606,1.0,0.07142857142857142,0.2,0.043478260869565216,0.6021505376344085,0.03611808694681623,0.4933870967741935
266,Eberechi,Eze,3,7.6,41,700,1,3,6,0,0,3,127.0,104.9,202.0,4.8,1,Arsenal,5.394736842105264,Spurs,1,0.05857142857142857,433.9,False,False,True,False,0.3423423423423423,0.39603960396039606,0.7067745197168858,0.07142857142857142,0.6,0.13043478260869565,0.6021505376344085,0.05337016574585635,0.3499193548387097
373,Virgil,van Dijk,2,5.9,41,990,0,0,3,2,0,4,317.2,45.8,62.0,3.0,12,Liverpool,6.949152542372881,Nott'm Forest,1,0.04141414141414142,425.0,False,True,False,False,0.1891891891891892,0.39603960396039606,1.0,0.0,0.0,0.17391304347826086,0.4086021505376344,0.03611808694681623,0.34274193548387094
120,Kevin,Schade,3,7.0,40,920,3,2,2,4,0,2,190.8,152.0,251.0,5.5,5,Brentford,5.714285714285714,Brighton,0,0.043478260869565216,593.8,False,False,True,False,0.2882882882882883,0.38613861386138615,0.9292214357937311,0.21428571428571427,0.4,0.08695652173913043,0.6774193548387096,0.03819361037713187,0.47887096774193544
